source,topic,title,org,state,pi,activity,amount,fy,start,end,sbir_sttr,project_num,abstract
NIH RePORTER,prior authorization,"Improving MOUD Access, Opioid-Related Outcomes and Equity Among Medicare Beneficiaries with Disability",RUTGERS BIOMEDICAL AND HEALTH SCIENCES,NJ,"CRYSTAL, STEPHEN ",R01,782867,2025,2022-09-01T00:00:00,2027-06-30T00:00:00,False,5R01DA057568-04,"PROJECT ABSTRACT Medications for opioid use disorder (MOUD) are a key tool in reducing harms of the opioid epidemic. Yet only a minority of those with OUD initiate treatment, early discontinuation is typical, and disparities are endemic. People with disabilities are at especially high risk and epitomize the challenges of OUD with multimorbidity. Preliminary analyses identified 45,035 fatal opioid overdoses among Medicare disability beneficiaries (MDBs) from 2008-2016, and continuing under-utilization and disparities in MOUD, including among overdose survivors. With its wide influence in the health care system, Medicare's role is vital; it is essential to examine the Medicare system's successes and failures in engaging and retaining MDBs in treatment. Several recent policy changes are promising, with important implications for other payers, but their impact across beneficiary subgroups, time and communities needs to be better understood to inform action to improve uptake and reduce disparities. This study, responding to RFA-DA-22-037, will use national Medicare data linked with the National Death Index, Medicaid claims, community resources, prescription drug plan (PDP) formulary policies, and other data sources to assess how policy, community, provider and patient factors interact to shape MOUD initiation and retention, and in turn overdose and other clinical outcomes. With annual updates through 2025, the project will provide a powerful framework for assessing evolving treatm"
NIH RePORTER,prior authorization,"Improving MOUD Access, Opioid-Related Outcomes and Equity Among Medicare Beneficiaries with Disability",RUTGERS BIOMEDICAL AND HEALTH SCIENCES,NJ,"CRYSTAL, STEPHEN ",R01,713468,2023,2022-09-01T00:00:00,2027-06-30T00:00:00,False,5R01DA057568-02,"PROJECT ABSTRACT Medications for opioid use disorder (MOUD) are a key tool in reducing harms of the opioid epidemic. Yet only a minority of those with OUD initiate treatment, early discontinuation is typical, and disparities are endemic. People with disabilities are at especially high risk and epitomize the challenges of OUD with multimorbidity. Preliminary analyses identified 45,035 fatal opioid overdoses among Medicare disability beneficiaries (MDBs) from 2008-2016, and continuing under-utilization and disparities in MOUD, including among overdose survivors. With its wide influence in the health care system, Medicare's role is vital; it is essential to examine the Medicare system's successes and failures in engaging and retaining MDBs in treatment. Several recent policy changes are promising, with important implications for other payers, but their impact across beneficiary subgroups, time and communities needs to be better understood to inform action to improve uptake and reduce disparities. This study, responding to RFA-DA-22-037, will use national Medicare data linked with the National Death Index, Medicaid claims, community resources, prescription drug plan (PDP) formulary policies, and other data sources to assess how policy, community, provider and patient factors interact to shape MOUD initiation and retention, and in turn overdose and other clinical outcomes. With annual updates through 2025, the project will provide a powerful framework for assessing evolving treatm"
NIH RePORTER,prior authorization,"Improving MOUD Access, Opioid-Related Outcomes and Equity Among Medicare Beneficiaries with Disability",RUTGERS BIOMEDICAL AND HEALTH SCIENCES,NJ,"CRYSTAL, STEPHEN ",R01,705100,2024,2022-09-01T00:00:00,2027-06-30T00:00:00,False,5R01DA057568-03,"PROJECT ABSTRACT Medications for opioid use disorder (MOUD) are a key tool in reducing harms of the opioid epidemic. Yet only a minority of those with OUD initiate treatment, early discontinuation is typical, and disparities are endemic. People with disabilities are at especially high risk and epitomize the challenges of OUD with multimorbidity. Preliminary analyses identified 45,035 fatal opioid overdoses among Medicare disability beneficiaries (MDBs) from 2008-2016, and continuing under-utilization and disparities in MOUD, including among overdose survivors. With its wide influence in the health care system, Medicare's role is vital; it is essential to examine the Medicare system's successes and failures in engaging and retaining MDBs in treatment. Several recent policy changes are promising, with important implications for other payers, but their impact across beneficiary subgroups, time and communities needs to be better understood to inform action to improve uptake and reduce disparities. This study, responding to RFA-DA-22-037, will use national Medicare data linked with the National Death Index, Medicaid claims, community resources, prescription drug plan (PDP) formulary policies, and other data sources to assess how policy, community, provider and patient factors interact to shape MOUD initiation and retention, and in turn overdose and other clinical outcomes. With annual updates through 2025, the project will provide a powerful framework for assessing evolving treatm"
NIH RePORTER,prior authorization,"Improving MOUD Access, Opioid-Related Outcomes and Equity Among Medicare Beneficiaries with Disability",RUTGERS BIOMEDICAL AND HEALTH SCIENCES,NJ,"CRYSTAL, STEPHEN ",R01,705100,2026,2022-09-01T00:00:00,2027-06-30T00:00:00,False,5R01DA057568-05,"PROJECT ABSTRACT Medications for opioid use disorder (MOUD) are a key tool in reducing harms of the opioid epidemic. Yet only a minority of those with OUD initiate treatment, early discontinuation is typical, and disparities are endemic. People with disabilities are at especially high risk and epitomize the challenges of OUD with multimorbidity. Preliminary analyses identified 45,035 fatal opioid overdoses among Medicare disability beneficiaries (MDBs) from 2008-2016, and continuing under-utilization and disparities in MOUD, including among overdose survivors. With its wide influence in the health care system, Medicare's role is vital; it is essential to examine the Medicare system's successes and failures in engaging and retaining MDBs in treatment. Several recent policy changes are promising, with important implications for other payers, but their impact across beneficiary subgroups, time and communities needs to be better understood to inform action to improve uptake and reduce disparities. This study, responding to RFA-DA-22-037, will use national Medicare data linked with the National Death Index, Medicaid claims, community resources, prescription drug plan (PDP) formulary policies, and other data sources to assess how policy, community, provider and patient factors interact to shape MOUD initiation and retention, and in turn overdose and other clinical outcomes. With annual updates through 2025, the project will provide a powerful framework for assessing evolving treatm"
NIH RePORTER,prior authorization,Prior Authorization for Cardiovascular Care: Patient Exposure and Effects on Service Use and Health Outcomes,UNIVERSITY OF PENNSYLVANIA,PA,"SCHWARTZ, AARON LAWRENCE",R01,685212,2026,2026-08-15T00:00:00,2030-04-30T00:00:00,False,1R01HL185247-01,"PROJECT SUMMARY / ABSTRACT Cardiovascular disease (CVD) remains the leading cause of death in the United States despite significant improvements in CVD care. Timely access to high-quality CVD services is essential to realizing the benefits of medical advances for this deadly chronic disease. Prior authorization (PA)—an insurance coverage restriction requiring insurer pre-approval for certain medical services—may delay or deter appropriate care. Indeed, CVD-related services such as echocardiography are among the most frequently targeted for PA. PA is increasingly used by Medicare Advantage (MA) plans, with 50 million PA requests processed annually; the extensive use of PA in MA is a stark contrast to government-administered Traditional Medicare, which employs minimal PA. While PA may prevent unnecessary care, it is controversial due to concerns it imposes administrative burdens for clinicians and access barriers for patients. Despite growing momentum for federal and state reforms to PA, little empirical evidence exists on how PA affects service use, care delays, or health outcomes. Further, there is no causal evidence for how PA affects CVD services or patient outcomes. The purpose of this project is to develop new policy-relevant evidence on the scope and effects of PA for CVD. The project leverages novel administrative data from the nation's largest MA insurer, UnitedHealth, including PA policies, medical claims, and enrollment data for MA and commercial plans. We also utili"
NIH RePORTER,prior authorization,Insurance-related barriers to medications for opioid use disorder in private and Medicaid plans,UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"CHUA, KAO-PING ",R01,666015,2023,2022-09-30T00:00:00,2026-07-31T00:00:00,False,5R01DA056438-02,"PROJECT SUMMARY In 2020, a record 71,000 opioid overdose deaths occurred in the U.S. The number of such deaths can be reduced by buprenorphine, methadone, and extended-release naltrexone, the three FDA-approved medications for opioid use disorder (MOUD). Despite this, many patients with opioid use disorder (OUD) never initiate treatment with MOUD, and those that do often drop out of treatment, increasing their risk of death. Although the uninsured are over-represented among patients with OUD, privately insured and Medicaid patients represent three-quarters of non-elderly Americans with OUD, suggesting that mitigating barriers to MOUD use in these patients is an especially important goal. Among the many such barriers, insurance-related barriers are an appealing target for intervention, as insurance benefit design is directly under the control of policymakers, insurers, and employers. However, the effects of insurance-related barriers on MOUD use in privately insured and Medicaid patients have not been rigorously studied. Consequently, it is unclear which barriers should be targeted in policy interventions and how these interventions should be designed. In this proposal, we will provide actionable, policy-relevant information on the effect of cost-sharing for MOUD in privately insured patients and on the effect of removing prior authorization requirements for MOUD in Medicaid patients. To do so, we will analyze 2017-2023 data from several state-of-the-art national databases, in"
NIH RePORTER,prior authorization,Insurance-related barriers to medications for opioid use disorder in private and Medicaid plans,UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"CHUA, KAO-PING ",R01,616875,2024,2022-09-30T00:00:00,2026-07-31T00:00:00,False,5R01DA056438-03,"PROJECT SUMMARY In 2020, a record 71,000 opioid overdose deaths occurred in the U.S. The number of such deaths can be reduced by buprenorphine, methadone, and extended-release naltrexone, the three FDA-approved medications for opioid use disorder (MOUD). Despite this, many patients with opioid use disorder (OUD) never initiate treatment with MOUD, and those that do often drop out of treatment, increasing their risk of death. Although the uninsured are over-represented among patients with OUD, privately insured and Medicaid patients represent three-quarters of non-elderly Americans with OUD, suggesting that mitigating barriers to MOUD use in these patients is an especially important goal. Among the many such barriers, insurance-related barriers are an appealing target for intervention, as insurance benefit design is directly under the control of policymakers, insurers, and employers. However, the effects of insurance-related barriers on MOUD use in privately insured and Medicaid patients have not been rigorously studied. Consequently, it is unclear which barriers should be targeted in policy interventions and how these interventions should be designed. In this proposal, we will provide actionable, policy-relevant information on the effect of cost-sharing for MOUD in privately insured patients and on the effect of removing prior authorization requirements for MOUD in Medicaid patients. To do so, we will analyze 2017-2023 data from several state-of-the-art national databases, in"
NIH RePORTER,prior authorization,Insurance-related barriers to medications for opioid use disorder in private and Medicaid plans,UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"CHUA, KAO-PING ",R01,553695,2025,2022-09-30T00:00:00,2027-07-31T00:00:00,False,5R01DA056438-04,"PROJECT SUMMARY In 2020, a record 71,000 opioid overdose deaths occurred in the U.S. The number of such deaths can be reduced by buprenorphine, methadone, and extended-release naltrexone, the three FDA-approved medications for opioid use disorder (MOUD). Despite this, many patients with opioid use disorder (OUD) never initiate treatment with MOUD, and those that do often drop out of treatment, increasing their risk of death. Although the uninsured are over-represented among patients with OUD, privately insured and Medicaid patients represent three-quarters of non-elderly Americans with OUD, suggesting that mitigating barriers to MOUD use in these patients is an especially important goal. Among the many such barriers, insurance-related barriers are an appealing target for intervention, as insurance benefit design is directly under the control of policymakers, insurers, and employers. However, the effects of insurance-related barriers on MOUD use in privately insured and Medicaid patients have not been rigorously studied. Consequently, it is unclear which barriers should be targeted in policy interventions and how these interventions should be designed. In this proposal, we will provide actionable, policy-relevant information on the effect of cost-sharing for MOUD in privately insured patients and on the effect of removing prior authorization requirements for MOUD in Medicaid patients. To do so, we will analyze 2017-2023 data from several state-of-the-art national databases, in"
NIH RePORTER,prior authorization,Medicare Advantage Today and Tomorrow,HARVARD MEDICAL SCHOOL,MA,"LANDON, BRUCE E.",P01,496757,2025,2009-08-15T00:00:00,2030-04-30T00:00:00,False,2P01AG032952-16,"REVISED PROJECT SUMMARY/ABSTRACT Enrollment in Medicare Advantage (MA), in which Medicare contracts out financial responsibility for beneficiaries’ care to private health plans, now exceeds enrollment in traditional Medicare (TM). The skyrocketing popularity of the Medicare Advantage (MA) program presents a double-edged sword for a rapidly growing senior population. While it offers them an alternative to TM through private health plans, concerns linger about how MA plans balance cost-containment practices with ensuring access to essential, high-quality services. Studies suggest practices like claim denials and limited networks, particularly concerning access to critical specialists like cardiologists and orthopedic surgeons, might restrict necessary care. This can potentially impact quality, with adverse welfare consequences for specific subpopulations. Additionally, the current diagnosis-based risk adjustment methods used to compensate plans may be susceptible to manipulation, potentially rewarding plans for focusing on less complex cases. As an agent for its beneficiaries, Medicare has two main tools for encouraging private MA plans to add value. The first is to encourage competition, both from TM and within MA. The second is direct regulation of aspects of plan design and behavior — including utilization management, provider network restrictions, risk selection, and diagnosis coding or other rent-seeking strategies — through standards, oversight, and payment system metho"
NIH RePORTER,prior authorization,Medicare Advantage Today and Tomorrow,HARVARD MEDICAL SCHOOL,MA,"LANDON, BRUCE E.",P01,466645,2026,2009-08-15T00:00:00,2030-04-30T00:00:00,False,5P01AG032952-17,"REVISED PROJECT SUMMARY/ABSTRACT Enrollment in Medicare Advantage (MA), in which Medicare contracts out financial responsibility for beneficiaries’ care to private health plans, now exceeds enrollment in traditional Medicare (TM). The skyrocketing popularity of the Medicare Advantage (MA) program presents a double-edged sword for a rapidly growing senior population. While it offers them an alternative to TM through private health plans, concerns linger about how MA plans balance cost-containment practices with ensuring access to essential, high-quality services. Studies suggest practices like claim denials and limited networks, particularly concerning access to critical specialists like cardiologists and orthopedic surgeons, might restrict necessary care. This can potentially impact quality, with adverse welfare consequences for specific subpopulations. Additionally, the current diagnosis-based risk adjustment methods used to compensate plans may be susceptible to manipulation, potentially rewarding plans for focusing on less complex cases. As an agent for its beneficiaries, Medicare has two main tools for encouraging private MA plans to add value. The first is to encourage competition, both from TM and within MA. The second is direct regulation of aspects of plan design and behavior — including utilization management, provider network restrictions, risk selection, and diagnosis coding or other rent-seeking strategies — through standards, oversight, and payment system metho"
NIH RePORTER,prior authorization,Transplanting Lungs from Uncontrolled Donation after Circulatory Death,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"WALL, STEPHEN P",R61,405375,2023,2022-07-08T00:00:00,2024-06-30T00:00:00,False,5R61HL156890-02,"ABSTRACT: One way to recover more lungs for the escalating numbers of patients requiring transplants is to expand the donor pool via uncontrolled donation after circulatory death (uDCD), when organs are recovered after death occurs unexpectedly inside or outside of hospitals. European countries use uDCD lungs routinely, achieving outcomes similar to those from donation after brain death. In Europe, uDCD operates within opt-out systems that allow rapid in situ lung preservation with cold perfusion via tubes inserted into the chests of the recently deceased, a practice that would require prior authorization in the U.S. Our collaborators from Toronto developed a novel uDCD protocol that preserves lungs non-invasively for just over 3 hours after death using positive end expiratory pressure (PEEP) and supplemental oxygen. In ~3 years, five patients received lungs from uDCD donors, with four patients surviving beyond 100 days. Authorization for organ donation was required before initiating lung preservation, leading to prolonged warm ischemic times (median 166 min) and discarding 64% of lungs assessed with ex vivo lung perfusion (EVLP). Our empirical data suggest authorized persons might accept having lung preservation initiated without explicit authorization when the procedures maintain body integrity, which could dramatically reduce warm ischemic times and improve transplant yield after EVLP to >50%. Before conducting a multicenter trial of our novel uDCD protocol, garnering appr"
NIH RePORTER,prior authorization,Project 4 - The Health Impact of Administrative Burdens for People with ADRD,NATIONAL BUREAU OF ECONOMIC RESEARCH,MA,"LAYTON, TIMOTHY ",P01,402664,2024,1997-02-01T00:00:00,2029-08-31T00:00:00,False,2P01AG005842-35A1,"OTHER PROJECT INFORMATION – Project Summary/Abstract Project 4 – The Health Impact of Administrative Burdens for People with ADRD The lives of people living with Alzheimer’s disease and related dementias are challenging on multiple dimensions that are made further complicated by healthcare-imposed administrative burdens. People with ADRD struggle with both complex and simple memory and cognitive tasks that dominate their daily lives, often relying on overburdened family caregivers. ADRD also face many other, less-obvious challenges related to their health and well-being, including suffering from a variety of comorbidities, receiving lower quality care when accessing services to treat these conditions, and high levels of reliance on caregivers for navigating the complexities of the healthcare system. Further, doctors report challenges treating people with ADRD, including those related to working with the patient (due to time and communication constraints), those related to billing for services provided to people with ADRD, and helping them access specialist and social services. These challenges have the potential to make people with ADRD uniquely impacted by the administrative burdens and hassles imposed by the U.S. healthcare system. These hassles are pervasive. Patients and healthcare providers encounter these burdens nearly every time they interact with the system. They come in the form of billing hassles, prior authorization restrictions, complex applications for public in"
